Episode,Reward,VolumeUtilization,Epsilon
0,1.8141666666666647,0.18141666666666667,0.995
1,1.8208333333333313,0.18208333333333335,0.99
2,1.7791666666666648,0.17791666666666667,0.9851
3,1.681666666666665,0.16816666666666666,0.9801
4,1.8824999999999978,0.18825,0.9752
5,1.8224999999999978,0.18225,0.9704
6,1.8224999999999978,0.18225,0.9655
7,1.7824999999999982,0.17825,0.9607
8,1.6958333333333317,0.16958333333333334,0.9559
9,1.8016666666666652,0.18016666666666667,0.9511
10,1.8083333333333313,0.18083333333333335,0.9464
11,1.7349999999999983,0.1735,0.9416
12,1.8516666666666646,0.18516666666666667,0.9369
13,1.933333333333331,0.19333333333333333,0.9322
14,1.7474999999999985,0.17475,0.9276
15,1.7858333333333314,0.17858333333333334,0.9229
16,1.7516666666666645,0.17516666666666666,0.9183
17,1.9299999999999975,0.193,0.9137
18,1.8191666666666646,0.18191666666666667,0.9092
19,1.7316666666666651,0.17316666666666666,0.9046
20,1.7666666666666648,0.17666666666666667,0.9001
21,1.724166666666665,0.17241666666666666,0.8956
22,1.8791666666666642,0.18791666666666668,0.8911
23,1.799999999999998,0.18,0.8867
24,1.7849999999999984,0.1785,0.8822
25,1.7208333333333317,0.17208333333333334,0.8778
26,1.834999999999998,0.1835,0.8734
